07-14 13:30:10 做多 FG509 入场价：1084.0 07-14 13:36:51 平多仓 FG509 卖出价：1083.0  盈利:-0.0009225092250922509
07-14 13:42:16 做空 FG509 入场价：1082.0 07-14 13:45:31 平空仓 FG509 卖出价：1084.0  盈利:-0.0009242144177449168
07-14 13:48:29 做多 FG509 入场价：1085.0 07-14 14:01:53 平多仓 FG509 卖出价：1085.0  盈利:-0.0009216589861751152
07-14 14:07:37 做多 FG509 入场价：1088.0 07-14 14:08:30 平多仓 FG509 卖出价：1086.0  盈利:-0.0009191176470588235
07-14 14:12:31 做多 FG509 入场价：1089.0 07-14 14:15:16 平多仓 FG509 卖出价：1086.0  盈利:-0.0027548209366391185
07-14 14:18:54 做多 FG509 入场价：1089.0 07-14 14:22:12 平多仓 FG509 卖出价：1087.0  盈利:-0.0009174311926605505
07-14 14:25:27 做多 FG509 入场价：1090.0 07-14 14:27:10 平多仓 FG509 卖出价：1089.0  盈利:-0.0018331805682859762
07-14 14:33:14 做多 FG509 入场价：1092.0 07-16 10:57:44 平多仓 FG509 卖出价：1066.0  盈利:-0.002806361085126286
07-16 10:57:57 平多仓 FG509 卖出价：1066.0  盈利:-0.002806361085126286
07-16 10:58:38 平多仓 FG509 卖出价：1066.0  盈利:-0.0018709073900841909
07-16 10:59:04 平多仓 FG509 卖出价：1066.0  盈利:-0.002806361085126286
07-16 10:59:17 平多仓 FG509 卖出价：1066.0  盈利:-0.002806361085126286
07-16 11:00:25 平多仓 FG509 卖出价：1066.0  盈利:-0.0037418147801683817
07-16 11:00:38 平多仓 FG509 卖出价：1066.0  盈利:-0.002806361085126286
07-16 11:01:16 平多仓 FG509 卖出价：1065.0  盈利:-0.002806361085126286
07-16 11:01:29 平多仓 FG509 卖出价：1065.0  盈利:-0.002806361085126286
07-16 11:01:43 平多仓 FG509 卖出价：1065.0  盈利:-0.0037418147801683817
07-16 11:01:56 平多仓 FG509 卖出价：1065.0  盈利:-0.002806361085126286
07-16 11:02:21 平多仓 FG509 卖出价：1066.0  盈利:-0.0018709073900841909
07-16 11:06:16 做多 FG509 入场价：1068.0 07-16 11:08:44 平多仓 FG509 卖出价：1066.0  盈利:-0.0018709073900841909
07-21 13:45:42 平多仓 FG509 卖出价：1175.0  盈利:0.005988023952095809
07-21 13:45:42 做空 FG509 入场价：1175.0 07-22 21:07:52 做空 FG509 入场价：1244.0 07-22 21:13:42 做空 FG509 入场价：1240.0 
