07-14 13:31:41 做多 SA509 入场价：1219.0 07-14 13:39:09 平多仓 SA509 卖出价：1217.0  盈利:-0.001639344262295082
07-14 13:48:27 做多 SA509 入场价：1220.0 07-14 13:57:27 平多仓 SA509 卖出价：1219.0  盈利:-0.000819672131147541
07-14 14:02:59 做多 SA509 入场价：1222.0 07-16 10:49:13 平多仓 SA509 卖出价：1211.0  盈利:-0.0008250825082508251
07-16 10:49:36 平多仓 SA509 卖出价：1210.0  盈利:-0.0016501650165016502
07-16 10:49:49 平多仓 SA509 卖出价：1210.0  盈利:-0.0016501650165016502
07-16 10:50:02 平多仓 SA509 卖出价：1210.0  盈利:-0.0016501650165016502
07-16 10:50:19 平多仓 SA509 卖出价：1210.0  盈利:-0.0016501650165016502
07-16 10:50:32 平多仓 SA509 卖出价：1209.0  盈利:-0.0024752475247524753
07-16 10:57:29 平多仓 SA509 卖出价：1211.0  盈利:-0.0008250825082508251
07-16 10:57:46 平多仓 SA509 卖出价：1210.0  盈利:-0.0008250825082508251
07-16 10:57:59 平多仓 SA509 卖出价：1210.0  盈利:-0.0016501650165016502
07-16 10:58:12 平多仓 SA509 卖出价：1211.0  盈利:-0.0016501650165016502
07-16 10:58:29 平多仓 SA509 卖出价：1211.0  盈利:-0.0016501650165016502
07-16 10:58:43 平多仓 SA509 卖出价：1210.0  盈利:-0.0016501650165016502
07-16 10:58:56 平多仓 SA509 卖出价：1211.0  盈利:-0.0008250825082508251
07-16 10:59:11 平多仓 SA509 卖出价：1210.0  盈利:-0.0016501650165016502
07-16 10:59:25 平多仓 SA509 卖出价：1211.0  盈利:-0.0008250825082508251
07-16 11:00:24 平多仓 SA509 卖出价：1210.0  盈利:-0.0016501650165016502
07-16 11:00:37 平多仓 SA509 卖出价：1210.0  盈利:-0.0016501650165016502
07-16 11:01:17 平多仓 SA509 卖出价：1211.0  盈利:-0.0008250825082508251
07-16 11:01:30 平多仓 SA509 卖出价：1210.0  盈利:-0.0008250825082508251
07-16 11:01:44 平多仓 SA509 卖出价：1210.0  盈利:-0.0008250825082508251
07-16 11:01:57 平多仓 SA509 卖出价：1211.0  盈利:-0.0016501650165016502
07-16 11:02:13 平多仓 SA509 卖出价：1211.0  盈利:-0.0016501650165016502
07-16 11:17:59 做空 SA509 入场价：1209.0 07-16 11:20:24 平空仓 SA509 卖出价：1211.0  盈利:-0.0008271298593879239
07-21 13:46:22 做空 SA509 入场价：1300.0 07-21 13:46:32 做空 SA509 入场价：1299.0 07-22 21:08:37 做空 SA509 入场价：1381.0 07-22 21:13:57 做空 SA509 入场价：1374.0 
